Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,10.110000,10.110000,10.110000,10.110000,8.701311,0
2018-07-11,10.120000,10.120000,10.120000,10.120000,8.709917,0
2018-07-12,10.120000,10.120000,10.120000,10.120000,8.709917,0
2018-07-13,10.120000,10.120000,10.120000,10.120000,8.709917,0
2018-07-16,10.110000,10.110000,10.110000,10.110000,8.701311,0
2018-07-17,10.110000,10.110000,10.110000,10.110000,8.701311,0
2018-07-18,10.100000,10.100000,10.100000,10.100000,8.692706,0
2018-07-19,10.110000,10.110000,10.110000,10.110000,8.701311,0
2018-07-20,10.090000,10.090000,10.090000,10.090000,8.684095,0
2018-07-23,10.070000,10.070000,10.070000,10.070000,8.666882,0
2018-07-24,10.080000,10.080000,10.080000,10.080000,8.675491,0
2018-07-25,10.080000,10.080000,10.080000,10.080000,8.675491,0
2018-07-26,10.070000,10.070000,10.070000,10.070000,8.666882,0
2018-07-27,10.070000,10.070000,10.070000,10.070000,8.666882,0
2018-07-30,10.060000,10.060000,10.060000,10.060000,8.658279,0
2018-07-31,10.070000,10.070000,10.070000,10.070000,8.689342,0
2018-08-01,10.060000,10.060000,10.060000,10.060000,8.680715,0
2018-08-02,10.060000,10.060000,10.060000,10.060000,8.680715,0
2018-08-03,10.070000,10.070000,10.070000,10.070000,8.689342,0
2018-08-06,10.080000,10.080000,10.080000,10.080000,8.697972,0
2018-08-07,10.060000,10.060000,10.060000,10.060000,8.680715,0
2018-08-08,10.060000,10.060000,10.060000,10.060000,8.680715,0
2018-08-09,10.070000,10.070000,10.070000,10.070000,8.689342,0
2018-08-10,10.100000,10.100000,10.100000,10.100000,8.715230,0
2018-08-13,10.090000,10.090000,10.090000,10.090000,8.706600,0
2018-08-14,10.090000,10.090000,10.090000,10.090000,8.706600,0
2018-08-15,10.100000,10.100000,10.100000,10.100000,8.715230,0
2018-08-16,10.100000,10.100000,10.100000,10.100000,8.715230,0
2018-08-17,10.100000,10.100000,10.100000,10.100000,8.715230,0
2018-08-20,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-21,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-22,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-23,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-24,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-27,10.110000,10.110000,10.110000,10.110000,8.723858,0
2018-08-28,10.090000,10.090000,10.090000,10.090000,8.706600,0
2018-08-29,10.090000,10.090000,10.090000,10.090000,8.706600,0
2018-08-30,10.100000,10.100000,10.100000,10.100000,8.715230,0
2018-08-31,10.100000,10.100000,10.100000,10.100000,8.736855,0
2018-09-04,10.080000,10.080000,10.080000,10.080000,8.719552,0
2018-09-05,10.080000,10.080000,10.080000,10.080000,8.719552,0
2018-09-06,10.090000,10.090000,10.090000,10.090000,8.728203,0
2018-09-07,10.070000,10.070000,10.070000,10.070000,8.710901,0
2018-09-10,10.070000,10.070000,10.070000,10.070000,8.710901,0
2018-09-11,10.060000,10.060000,10.060000,10.060000,8.702250,0
2018-09-12,10.060000,10.060000,10.060000,10.060000,8.702250,0
2018-09-13,10.070000,10.070000,10.070000,10.070000,8.710901,0
2018-09-14,10.060000,10.060000,10.060000,10.060000,8.702250,0
2018-09-17,10.050000,10.050000,10.050000,10.050000,8.693604,0
2018-09-18,10.030000,10.030000,10.030000,10.030000,8.676299,0
2018-09-19,10.030000,10.030000,10.030000,10.030000,8.676299,0
2018-09-20,10.040000,10.040000,10.040000,10.040000,8.684948,0
2018-09-21,10.040000,10.040000,10.040000,10.040000,8.684948,0
2018-09-24,10.040000,10.040000,10.040000,10.040000,8.684948,0
2018-09-25,10.030000,10.030000,10.030000,10.030000,8.676299,0
2018-09-26,10.050000,10.050000,10.050000,10.050000,8.693604,0
2018-09-27,10.040000,10.040000,10.040000,10.040000,8.684948,0
2018-09-28,10.040000,10.040000,10.040000,10.040000,8.706631,0
2018-10-01,10.030000,10.030000,10.030000,10.030000,8.697960,0
2018-10-02,10.040000,10.040000,10.040000,10.040000,8.706631,0
2018-10-03,10.000000,10.000000,10.000000,10.000000,8.671946,0
2018-10-04,9.980000,9.980000,9.980000,9.980000,8.654598,0
2018-10-05,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-08,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-09,9.980000,9.980000,9.980000,9.980000,8.654598,0
2018-10-10,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-11,9.990000,9.990000,9.990000,9.990000,8.663276,0
2018-10-12,10.000000,10.000000,10.000000,10.000000,8.671946,0
2018-10-15,9.990000,9.990000,9.990000,9.990000,8.663276,0
2018-10-16,9.990000,9.990000,9.990000,9.990000,8.663276,0
2018-10-17,9.980000,9.980000,9.980000,9.980000,8.654598,0
2018-10-18,9.980000,9.980000,9.980000,9.980000,8.654598,0
2018-10-19,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-22,9.960000,9.960000,9.960000,9.960000,8.637257,0
2018-10-23,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-24,9.960000,9.960000,9.960000,9.960000,8.637257,0
2018-10-25,9.960000,9.960000,9.960000,9.960000,8.637257,0
2018-10-26,9.980000,9.980000,9.980000,9.980000,8.654598,0
2018-10-29,9.970000,9.970000,9.970000,9.970000,8.645927,0
2018-10-30,9.960000,9.960000,9.960000,9.960000,8.637257,0
2018-10-31,9.950000,9.950000,9.950000,9.950000,8.650298,0
2018-11-01,9.960000,9.960000,9.960000,9.960000,8.658989,0
2018-11-02,9.940000,9.940000,9.940000,9.940000,8.641603,0
2018-11-05,9.940000,9.940000,9.940000,9.940000,8.641603,0
2018-11-06,9.950000,9.950000,9.950000,9.950000,8.650298,0
2018-11-07,9.950000,9.950000,9.950000,9.950000,8.650298,0
2018-11-08,9.950000,9.950000,9.950000,9.950000,8.650298,0
2018-11-09,9.960000,9.960000,9.960000,9.960000,8.658989,0
2018-11-12,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-13,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-14,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-15,9.960000,9.960000,9.960000,9.960000,8.658989,0
2018-11-16,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-19,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-20,9.960000,9.960000,9.960000,9.960000,8.658989,0
2018-11-21,9.960000,9.960000,9.960000,9.960000,8.658989,0
2018-11-23,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-26,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-27,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-28,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-29,9.970000,9.970000,9.970000,9.970000,8.667680,0
2018-11-30,9.970000,9.970000,9.970000,9.970000,8.689472,0
2018-12-03,9.990000,9.990000,9.990000,9.990000,8.706905,0
2018-12-04,10.020000,10.020000,10.020000,10.020000,8.733052,0
2018-12-06,10.020000,10.020000,10.020000,10.020000,8.733052,0
2018-12-07,10.030000,10.030000,10.030000,10.030000,8.741764,0
2018-12-10,10.030000,10.030000,10.030000,10.030000,8.741764,0
2018-12-11,10.030000,10.030000,10.030000,10.030000,8.741764,0
2018-12-12,10.030000,10.030000,10.030000,10.030000,8.741764,0
2018-12-13,10.020000,10.020000,10.020000,10.020000,8.733052,0
2018-12-14,10.030000,10.030000,10.030000,10.030000,8.741764,0
2018-12-17,10.040000,10.040000,10.040000,10.040000,8.750481,0
